Const,Name,Known For
nm1148550,Ava DuVernay,Selma
nm1950086,Greta Gerwig,Barbie
nm0001068,Sofia Coppola,The Godfather Part III
nm2011696,Dee Rees,Mudbound
nm0000941,Kathryn Bigelow,The Hurt Locker
nm0036349,Andrea Arnold,American Honey
nm0811611,So Yong Kim,Na-moo-eobs-neun san
nm3034178,Desiree Akhavan,Appropriate Behavior
nm2197025,Deniz Gamze Ergüven,Mustang
nm0001631,Sarah Polley,My Life Without Me
nm0797455,Floria Sigismondi,The Runaways
nm0491259,Mélanie Laurent,Inglourious Basterds
nm0322128,Lesli Linka Glatter,Homeland
nm1392994,Amma Asante,Belle
nm0679662,Jennifer Phang,Advantageous
nm0533713,Michelle MacLaren,Breaking Bad
nm0708903,Lynne Ramsay,You Were Never Really Here
nm0002132,Amy Heckerling,Clueless
nm0420941,Patty Jenkins,Wonder Woman
nm4354445,Anahita Ghazvinizadeh,They
nm1543747,Reed Morano,The Handmaid's Tale
nm1363250,Gabriela Cowperthwaite,Our Friend
nm3235877,Ana Lily Amirpour,A Girl Walks Home Alone at Night
nm3317268,Kitty Green,The Assistant
nm2262138,Sarah Adina Smith,Buster's Mal Heart
nm1454680,Atsuko Hirayanagi,Ô Rûshî!
nm3622659,Lucia Aniello,Hacks
nm2586324,Trish Sie,Pitch Perfect 3
nm2978148,Sydney Freeland,Drunktown's Finest
nm2125482,Chloé Zhao,Nomadland
nm8635060,Sabaah Folayan,Whose Streets?
nm3701612,Jessica M. Thompson,The Light of the Moon
nm2151374,Eliza Hittman,Never Rarely Sometimes Always
nm1128572,Lake Bell,In a World...
nm1332844,Amy Berg,Deliver Us from Evil
nm0081540,Susanne Bier,Hævnen
nm0001005,Jane Campion,Bright Star
nm0138927,Niki Caro,Whale Rider
nm4469445,Julia Ducournau,Titane
nm0056006,Neema Barnette,Bosch
nm0537199,Victoria Mahoney,Yelling to the Sky
nm0358184,Tanya Hamilton,Night Catches Us
nm0133773,Kat Candler,Hellion
nm0724757,Salli Richardson-Whitfield,Anacondas: The Hunt for the Blood Orchid
nm2064480,Tina Mabry,Mississippi Damned
nm0243109,Cheryl Dunye,The Watermelon Woman
nm1312731,Aurora Guerrero,Mosquita y Mari
nm1991486,Maryam Keshavarz,Circumstance
nm5831383,Amanda Marsalis,Ozark
nm2277869,Marjane Satrapi,Persepolis
nm0204466,DeMane Davis,Lift
nm0201969,Julie Dash,Reasonable Doubt
nm3797834,Garrett Bradley,Time
nm8217935,Liesl Tommy,Respect
nm2058108,Christina Alexandra Voros,The Ladies
nm0335138,Debra Granik,Winter's Bone
nm2853516,Leslye Headland,Bachelorette
nm1716636,Marielle Heller,The Diary of a Teenage Girl
nm0392237,Nicole Holofcener,Enough Said
nm0448768,Jennifer Kent,The Nightingale
nm0476201,Karyn Kusama,The Invitation
nm0001460,Mimi Leder,The Morning Show
nm3652021,Meera Menon,Farah Goes Bang
nm0619762,Mira Nair,Monsoon Wedding
nm0636675,Jehane Noujaim,Control Room
nm0697656,Gina Prince-Bythewood,Love & Basketball
nm0771054,Lone Scherfig,An Education
nm1541272,Amy Seimetz,Upstream Color
nm0813561,Joey Soloway,Transparent
nm0000149,Jodie Foster,The Silence of the Lambs
nm0044803,Jamie Babbit,But I'm a Cheerleader
nm0006969,Elizabeth Banks,The Hunger Games
nm0149446,Gurinder Chadha,Bend It Like Beckham
nm0152312,Brenda Chapman,Brave
nm0158966,Lisa Cholodenko,The Kids Are All Right
nm0170043,Isabel Coixet,My Life Without Me
nm0004838,Martha Coolidge,Valley Girl
nm0178886,Gia Coppola,Palo Alto
nm0215123,Donna Deitch,Desert Hearts
nm0219136,Claire Denis,High Life
nm4227232,Hannah Fidell,A Teacher
nm0267512,Valerie Faris,Little Miss Sunshine
nm0275277,Shana Feste,Dirty Diana
nm0281945,Anne Fletcher,The Proposal
nm0284774,Anne Fontaine,Les innocentes
nm0296945,Pamela Fryman,Santa Barbara
nm0315298,Jennifer Getzinger,Mad Men
nm1065402,Sanaa Hamri,Something New
nm0361135,Mia Hansen-Løve,L'avenir
nm0366004,Mary Harron,American Psycho
nm0002140,Agnieszka Holland,Pokot
nm2581581,Courtney Hunt,Frozen River
nm0420982,Tamara Jenkins,The Savages
nm0421776,Vicky Jenson,Shrek
nm0432380,Miranda July,Me and You and Everyone We Know
nm0452319,Beeban Kidron,Oranges Are Not the Only Fruit
nm0501435,Kasi Lemmons,Harriet
nm1630273,Phyllida Lloyd,Mamma Mia!
nm0541562,Gail Mancuso,Modern Family
nm0829576,Kristen Stewart,Snow White and the Huntsman
nm0362566,Catherine Hardwicke,Twilight
nm0001508,Penny Marshall,Laverne & Shirley
nm7635965,Kat Hunt,What's Revenge
nm0565063,Beth McCarthy-Miller,30 Rock
nm0589182,Rebecca Miller,Maggie's Plan
nm0950775,Jennifer Yuh Nelson,Kung Fu Panda 2
nm0001401,Angelina Jolie,Maleficent
nm4945419,Stacie Passon,Concussion
nm0005303,Kimberly Peirce,Boys Don't Cry
nm0688636,Laura Poitras,Citizenfour
nm0006845,Sally Potter,The Tango Lesson
nm0716980,Kelly Reichardt,Wendy and Lucy
nm3521871,Gillian Robespierre,Obvious Child
nm1708795,Bayne Gibby,Enlightened
nm0005390,Patricia Rozema,Into the Forest
nm1119645,Lynn Shelton,Humpday
nm0790715,Penelope Spheeris,Suburbia
nm0853380,Julie Taymor,Frida
nm0905154,Lana Wachowski,The Matrix
nm0905152,Lilly Wachowski,The Matrix
nm1356951,Alice Winocour,Mustang
nm0791723,Quinn Shephard,Blame
nm3199307,Ruby Rose,Orange Is the New Black
nm1601644,Jennifer Lee,Frozen
nm2528690,Sara Colangelo,The Kindergarten Teacher
nm1357921,Christina Choe,Nancy
nm2060706,Jennifer Fox,The Tale
nm3141066,Kimberly Reed,Dark Money
nm3253001,Stephanie Soechtig,Tapped
nm2331256,Amy Scott,Hal
nm0633177,Laura Nix,The Politics of Fur
nm1405022,Heather Lenz,Kusama: Infinity
nm5221728,Alexandria Bombach,On Her Shoulders
nm2510874,Sophie Sartain,Seeing Allred
nm0343706,Roberta Grossman,Homeland: Four Portraits of Native Action
nm4014166,Cathy Yan,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn
nm3063074,Isabella Eklöf,Gräns
nm0078452,Valeria Bertuccelli,La reina del miedo
nm0864306,Fabiana Tiscornia,La reina del miedo
nm3620652,Aly Muritiba,Cangaço Novo
nm0848893,Sandi Tan,Shirkers
nm1009787,Alexandra Shiva,How to Dance in Ohio
nm2503036,Lorna Tucker,Garbo: Where Did You Go?
nm2332629,Bernadett Tuza-Ritter,A Woman Captured
nm1145920,Crystal Moselle,Skate Kitchen
nm2416507,Bridey Elliott,Clara's Ghost
nm2528451,Josephine Decker,Thou Wast Mild and Lovely
nm0819079,Jordana Spiro,Night Comes On
nm2113122,Claire McCarthy,The Colour Room
nm3131342,Elizabeth Chomko,What They Had
nm1132362,Lauren Greenfield,The Queen of Versailles
nm0012501,Amy Adrion,Half the Picture
nm0480402,Susan Lacy,American Masters
nm3077054,Jenny Mackenzie,Kick Like a Girl
nm3167380,Amanda Stoddard,Quiet Heroes
nm1723335,Betsy West,RBG
nm3792517,Julie Cohen,My Name Is Pauli Murray
nm0954912,Marina Zenovich,Lance
nm0267287,Coralie Fargeat,The Substance
nm1435438,Augustine Frizzell,Never Goin' Back
nm2125482,Chloé Zhao,Nomadland
nm2509638,Rungano Nyoni,Mwansa the Great
nm8201031,Cristina Costantini,Science Fair
nm0853380,Julie Taymor,Frida
nm0000204,Natalie Portman,Black Swan
nm1065229,America Ferrera,Barbie
nm3892615,Laura Mulleavy,Black Swan
nm3894334,Kate Mulleavy,Black Swan
nm1752221,Gina Rodriguez,Deepwater Horizon
nm0743896,Tracee Ellis Ross,The Hair Tales
nm0848554,Amber Tamblyn,The Sisterhood of the Traveling Pants
nm0266824,Dakota Fanning,War of the Worlds
nm0515255,Jennie Livingston,Paris Is Burning
nm1823216,Heidi Ewing,I Carry You with Me
nm1823227,Rachel Grady,The Boys of Baraka
nm1155957,Anna Muylaert,Que Horas Ela Volta?
nm0607185,Jennifer Morrison,House M.D.
nm1312575,Olivia Wilde,Don't Worry Darling
nm1393967,Wanuri Kahiu,Rafiki
nm3661321,Alexandra Lescaze,All of Me
nm3053575,Laura Bispuri,L'amica geniale
nm0789366,Jessica Sharzer,Speak
nm2630323,Justine Triet,Anatomie d'une chute
nm8360246,Hannah Sheinkopf,Wilderness
nm0886079,Dorothée Van Den Berghe,Meisje
nm1888018,Jessica Palud,Revenir
nm0079448,Maggie Betts,The Burial
nm1127653,Massy Tadjedin,Last Night
nm0874795,Gabriela Tscherniak,"Berlin, I Love You"
nm1872698,Dianna Agron,The Family
nm3513753,Jessie Barr,Sophie Jones
nm4549849,Pippa Bianco,Share
nm2000954,Hannah Marks,Turtles All the Way Down
nm4826506,Cara Stricker,Maverick
nm2859868,Nikole Beckwith,Together Together
nm3997700,Houda Benyamina,Divines
nm3052903,Alison Klayman,Ai Weiwei: Never Sorry
nm0754303,Catherine Gund,Chavela
nm0330028,Bette Gordon,Variety
